Time(s),KS_voltage(V),Pressure_voltage(V)
0.61599998,1.5172551651,0.20712352
0.61699998,1.45684670639,0.20712352
0.61799998,1.5129336853,0.20712352
0.61899998,1.4827448349,0.20712352
0.61999998,1.53883181381,0.20712352
0.62099998,1.5172551651,0.20712352
0.62199998,1.49137241745,0.1898376
0.62299998,1.53883181381,0.20712352
0.62399998,1.5172551651,0.20712352
0.62499998,1.54315329361,0.20712352
0.62599998,1.46979576874,0.20712352
0.62699998,1.53883181381,0.20712352
0.62799998,1.50862758255,0.20712352
0.62899998,1.53452571106,0.20712352
0.62999998,1.4956938982,0.20712352
0.63099998,1.5129336853,0.20712352
0.63199998,1.54315329361,0.20712352
0.63299998,1.50862758255,0.20712352
0.63399998,1.5129336853,0.20712352
0.63499998,1.5043061018,0.20712352
0.63599998,1.57767900085,0.20712352
0.63699998,1.5215766468,0.20712352
0.63799998,1.55178087616,0.20712352
0.63899998,1.52588274956,0.20712352
0.63999998,1.57335752869,0.20712352
0.64099998,1.54745940018,0.20712352
0.64199998,1.53452571106,0.20712352
0.64299998,1.57767900085,0.20712352
0.64399998,1.54315329361,0.20712352
0.64499998,1.53020423126,0.20712352
0.64599998,1.50862758255,0.20712352
0.64699998,1.56040846252,0.20712352
0.64799998,1.5215766468,0.20712352
0.64899998,1.53452571106,0.20712352
0.64999998,1.49137241745,0.20712352
0.65099998,1.5215766468,0.20712352
0.65199998,1.54745940018,0.20712352
0.65299998,1.4870663147,0.20712352
0.65399998,1.53020423126,0.20712352
0.65499998,1.5215766468,0.20712352
0.65599998,1.53883181381,0.20712352
0.65699998,1.4956938982,0.20712352
0.65799998,1.53020423126,0.20712352
0.65899998,1.5172551651,0.20712352
0.65999998,1.54745940018,0.20712352
0.66099998,1.53883181381,0.20712352
0.66199998,1.5129336853,0.20712352
0.66299998,1.53883181381,0.20712352
0.66399998,1.54745940018,0.20712352
0.66499998,1.53020423126,0.20712352
0.66599998,1.46116818619,0.20712352
0.66699998,1.5215766468,0.20712352
0.66799998,1.4870663147,0.20712352
0.66899998,1.5043061018,0.20712352
0.66999998,1.4827448349,0.20712352
0.67099998,1.4870663147,0.20712352
0.67199998,1.5,0.20712352
0.67299998,1.46547428894,0.20712352
0.67399998,1.4784233532,0.20712352
0.67499998,1.4870663147,0.20712352
0.67599998,1.54315329361,0.20712352
0.67699998,1.46547428894,0.20712352
0.67799998,1.50862758255,0.20712352
0.67899998,1.4827448349,0.20712352
0.67999998,1.5172551651,0.20712352
0.68099998,1.49137241745,0.20712352
0.68199998,1.47411725044,0.20712352
0.68299998,1.5,0.20712352
0.68399998,1.4956938982,0.20712352
0.68499998,1.4827448349,0.20712352
0.68599998,1.43959153748,0.20712352
0.68699998,1.5043061018,0.20712352
0.68799998,1.45684670639,0.20712352
0.68899998,1.46979576874,0.20712352
0.68999998,1.44389764023,0.20712352
0.69099998,1.46547428894,0.20712352
0.69199998,1.49137241745,0.20712352
0.69299998,1.44389764023,0.20712352
0.69399998,1.46979576874,0.20712352
0.69499998,1.5,0.20712352
0.69599998,1.52588274956,0.20712352
0.69699998,1.47411725044,0.20712352
0.69799998,1.5043061018,0.20712352
0.69899998,1.49137241745,0.20712352
0.69999998,1.53020423126,0.20712352
0.70099998,1.5129336853,0.20712352
0.70199998,1.4784233532,0.20712352
0.70299998,1.53452571106,0.20712352
0.70399998,1.50862758255,0.20712352
0.70499998,1.5172551651,0.20712352
0.70599998,1.45254059982,0.20712352
0.70699998,1.50862758255,0.20712352
0.70799998,1.46979576874,0.20712352
0.70899998,1.4956938982,0.20712352
0.70999998,1.45254059982,0.20712352
0.71099998,1.4827448349,0.20712352
0.71199998,1.5,0.20712352
0.71299998,1.44389764023,0.20712352
0.71399998,1.4784233532,0.20712352
0.71499998,1.46979576874,0.20712352
0.71599998,1.53020423126,0.20712352
0.71699998,1.45684670639,0.20712352
0.71799998,1.50862758255,0.20712352
0.71899998,1.4827448349,0.20712352
0.71999998,1.53452571106,0.20712352
0.72099998,1.50862758255,0.20712352
0.72199998,1.4870663147,0.20712352
0.72299998,1.52588274956,0.20712352
0.72399998,1.50862758255,0.20712352
0.72499998,1.5043061018,0.20712352
0.72599998,1.46979576874,0.20712352
0.72699998,1.53452571106,0.20712352
0.72799998,1.4827448349,0.20712352
0.72899998,1.5,0.20712352
0.72999998,1.46116818619,0.20712352
0.73099998,1.4827448349,0.20712352
0.73199998,1.4956938982,0.20712352
0.73299998,1.46116818619,0.20712352
0.73399998,1.4784233532,0.20712352
0.73499998,1.5,0.20712352
0.73599998,1.53452571106,0.20712352
0.73699998,1.4870663147,0.20712352
0.73799998,1.5172551651,0.20712352
0.73899998,1.5043061018,0.20712352
0.73999998,1.54315329361,0.20712352
0.74099998,1.5129336853,0.20712352
0.74199998,1.5043061018,0.20712352
0.74299998,1.56040846252,0.20712352
0.74399998,1.5172551651,0.20712352
0.74499998,1.52588274956,0.20712352
0.74599998,1.4784233532,0.20712352
0.74699998,1.55178087616,0.20712352
0.74799998,1.5043061018,0.20712352
0.74899998,1.5215766468,0.20712352
0.74999998,1.4870663147,0.20712352
0.75099998,1.50862758255,0.20712352
0.75199998,1.54315329361,0.20712352
0.75299998,1.4870663147,0.20712352
0.75399998,1.5215766468,0.20712352
0.75499998,1.52588274956,0.20712352
0.75599998,1.55178087616,0.20712352
0.75699998,1.50862758255,0.20712352
